input,output
Yepp https://www.ducumon.click/2016/01/pokemon-y.html,First page bhejde 12copy na? 4 for each of us
Haa,Invert?
Nahi hua Kaam hi kar rahe hai,To DBMS? Practical ke time pe le lete he Agar sir bole without invert chalega to likal thenke
https://hexrom.com/pokemon-y/download/ Pokemon y,Konsa karna he? null Mewtwo bhi he?
Ye mat kar Maine dusra link dhundha hai Usme fast ho raha hai Link ka kuch problem tha Run karke batata hu,Tu download karke run karke mujhe bata Ha
Haa,Ha
Haa,Ha re
Haaqq,Haee Nahi it's most probably website error
Ha wohi re This message was deleted This message was deleted This message was deleted This message was deleted https://happyroms.com/download/mod/pokemon-y-33191-691/ This one is good,Chalega Karta hu Phir batata hu
Haa Are? Extract kiya ?,🤦‍♂️ 🤟
Wo kar,Same araha he
Aisa aayega Jo folder me extract kiya wo folder khol,Konsa directory select Kiya?
Maine alag directory banaya hai Jisme dono games hai,Acha Kese?
Haa Files me jaake create kar Fir copy paste kar de Aise we file copy paste kar Rar ya zip wala nahi,Ye alag wala he na? Isn't it different files?
Haa,My extention is 3d and yours cita
Extract karne ke baad ek alag file banta hai Wo dhundh,Yee??
Haa Ha ye,Age? *aage?
Copy paste Kiya ? Ya to ye directory yaad rakh,Ah he alag folder me he hee
Aur yahipe Citra ka path set kar,It says my room is encrypted. How do I decrypt it? *rom
Where does it say that ? Tujhe Aisa icon dikh raha hai ?,Nahi na
Aise icons hi khulte hai Tu file barabar open nahi kar raha,How do you open it then? I will have to decrypt the file first
That's not needed re I extracted the file then moved the new file created And it opened,Where did you moved it in citra folder?
Noo,Citraka download link bhej
Wo playstore se kiya,Nahi chal Raha he It needs to be decrypted
I'll see it on sunday,I think you send me decryped file by mistake
No re,Thekta hu me
I sent you the same link i used Haa Ohhh nice Expense tracker,Are waa
"I'll send you the code when I'm done import java.util.*; class setexpense{ String cat[] = new String[100]; int cash[] = new int[100]; int i=0,sum=0,rembud=0,k=1,n=0; int BUDGET=0; public void setbudget(int budget){ BUDGET += budget; rembud += budget; System.out.println(""YOUR BUDGET IS :""+BUDGET); } public void LIST(){ int out; String in; Scanner sc = new Scanner(System.in); while(k==1){ System.out.println(""Enter Category""); in=sc.next(); System.out.println(""Enter expense amount""); out= sc.nextInt(); if(rembud>out){ cash[i]=out; cat[i]=in; } else if(rembud!=0 && rembud<out){ System.out.println(""INSUFFICIENT BUDGET""); cash[i]=out; cat[i]=in; } System.out.println(""Enter 0 to exit""); i++; n++; rembud -=out; sum +=out; k = sc.nextInt(); if(k==0) break; } System.out.println(""ORIGINAL BUDGET :""+BUDGET); System.out.println(""REMAINING BUDGET:""+rembud); System.out.println(""TOTAL EXPENDITURE:""+sum); } } class checkexpense extends setexpense{ void display(){ System.out.println(""  CATEGORY     EXPENSE""); for(i=0;i<n;i++){ System.out.println(i+1+"" ""+cat[i]+""              ""+cash[i]); } } void sortlist(){ int b[]= cash.clone(); String a[]=cat.clone(); String temp; int tem; for(i = 0;i<n;i++){ for(int j=0;j<n;j++){ if(b[j]>b[j+1]){ tem = b[j]; temp = a[j]; b[j] = b[j+1]; a[j] = a[j+1]; b[j+1]= tem; a[j+1]= temp; } } } for(i=1;i<n+1;i++){ System.out.println(b[i]+""  ""+a[i]); } } } public class Main { public static void main(String[] args) { int ch=6,bud; Scanner sc = new Scanner(System.in); System.out.println(""WELCOME TO EXPENSE TRCKER""); checkexpense budget = new checkexpense(); do{ System.out.println(""MAIN MENU""); System.out.println(""1.)SET/UPDATE BUDGET""); System.out.println(""2.)ENTER EXPENSE""); System.out.println(""3.)CHECK EXPENSE HISTORY""); System.out.println(""4.)CHECK REMAINING BUDGET""); System.out.println(""5.)CHECK TOTAL EXPENSE""); System.out.println(""6.)SORT EXPENSES IN ASCENDING ORDER: ""); System.out.println(""7.)EXIT""); ch = sc.nextInt(); System.out.println(""\n\n""); switch(ch){ case 1: System.out.println(""Enter your budget:""); bud = sc.nextInt(); budget.setbudget(bud); break; case 2: budget.LIST(); break; case 3: budget.display(); break; case 4: System.out.println(""ORIGINAL BUDGET:""+budget.BUDGET); System.out.println(""REMAINING BUDGET:""+budget.rembud); case 5: System.out.println(""TOTAL EXPENDITURE:""+budget.sum); break; case 6: budget.sortlist(); break; } }while(ch!=6); } } its smoll aur kuch daal sakte hai kya ?",Make it look good
Like ?,Use /n /t add ------- or ****** to seperate Like that
ohokk any new features ?,"if you want add dates not a lot you can add tho you  can separate things like necessities, entertainment. then allocate certain budget for it"
Yaa I'm adding that Yaaa Should I show it to sir ?,sure show it to sir
Isn't it too simple,Yaa it is mostly a condition then addition or substraction
so should I or not,Don't contemplate so much Go with what you want If it's simple sir will say it's simple. What's the big deal with it? It's not like we are selling it
"alright let me getb the date done then ill tell sir import java.util.Scanner; import java.util.Date; import java.text.SimpleDateFormat; class setexpense{ String cat[] = new String[100]; int cash[] = new int[100]; String dat[] = new String[100]; int i=0,sum=0,rembud=0,k=1,n=0; int BUDGET=0; public void setbudget(int budget){ BUDGET += budget; rembud += budget; System.out.println(""YOUR BUDGET IS :""+BUDGET); } public void LIST(){ int out; String in,d=null; Scanner sc = new Scanner(System.in); while(k==1){ System.out.println(""Enter Category""); in=sc.next(); System.out.println(""Enter expense amount""); out= sc.nextInt(); System.out.println(""Enter date(Press 1 for current date):""); d = sc.next(); Date date = new Date(); SimpleDateFormat formatter = new SimpleDateFormat(""dd/MM/yyyy""); dat[i] = formatter.format(date); System.out.println(dat[i]); if(rembud>out){ cash[i]=out; cat[i]=in; if(d==null) System.out.println(""\n""); else dat[i]=d; } else if(rembud==0 || rembud<out){ System.out.println(""INSUFFICIENT BUDGET""); cash[i]=out; cat[i]=in; if(d==null) System.out.println(""\n""); else dat[i]=d; } System.out.println(""Enter 1 to continue""); i++; n++; rembud -=out; sum +=out; k = sc.nextInt(); if(k==0) break; } System.out.println(""ORIGINAL BUDGET :""+BUDGET); System.out.println(""REMAINING BUDGET:""+rembud); System.out.println(""TOTAL EXPENDITURE:""+sum); } } class checkexpense extends setexpense{ void display(){ System.out.println(""  CATEGORY     EXPENSE      DATE""); for(i=0;i<n;i++){ System.out.println(i+1+"" ""+cat[i]+""              ""+cash[i]+""    ""+dat[i]); } } void sortlist(){ int b[]= cash.clone(); String a[]=cat.clone(); String temp; int tem; for(i = 0;i<n;i++){ for(int j=0;j<n;j++){ if(b[j]>b[j+1]){ tem = b[j]; temp = a[j]; b[j] = b[j+1]; a[j] = a[j+1]; b[j+1]= tem; a[j+1]= temp; } } } for(i=1;i<n+1;i++){ System.out.println(b[i]+""  ""+a[i]); } } } public class Main { public static void main(String[] args) { int ch=6,bud; Scanner sc = new Scanner(System.in); System.out.println(""WELCOME TO EXPENSE TRCKER""); checkexpense budget = new checkexpense(); do{ System.out.println(""MAIN MENU""); System.out.println(""1.)SET/UPDATE BUDGET""); System.out.println(""2.)ENTER EXPENSE""); System.out.println(""3.)CHECK EXPENSE HISTORY""); System.out.println(""4.)CHECK REMAINING BUDGET""); System.out.println(""5.)CHECK TOTAL EXPENSE""); System.out.println(""6.)SORT EXPENSES IN ASCENDING ORDER: ""); System.out.println(""7.)EXIT""); ch = sc.nextInt(); System.out.println(""\n\n""); switch(ch){ case 1: System.out.println(""Enter your budget:""); bud = sc.nextInt(); budget.setbudget(bud); break; case 2: budget.LIST(); break; case 3: budget.display(); break; case 4: System.out.println(""ORIGINAL BUDGET:""+budget.BUDGET); System.out.println(""REMAINING BUDGET:""+budget.rembud); case 5: System.out.println(""TOTAL EXPENDITURE:""+budget.sum); break; case 6: budget.sortlist(); break; } }while(ch!=6); } }",join kar follow up
https://www.instagram.com/reel/C3P1wzjI7Oi/?igsh=M25sNGZ4aWFnbjR1 aoa assignment 1 bhej na thanku,Don't send to anyone
program nahi chahiye tgha,Even in our group
haaa im just checking the answers,It was WAP. Which is write a program
haa I know i meant i didn't want it,Ahh acha samjha Haa
haa,Ha
ha thanku,🧐 Welcomu
"Haq yepp #include <stdio.h> void display(int a[],int n){ int i; for(i=0;i<n;i++) { printf(""%d "",a[i]); } } int partition(int a[],int lb,int ub){ int pivot = a[lb]; int start = lb; int end = ub; int temp; while(start<end){ while(a[start]<=pivot) start++; while(a[start]>pivot) end--; if(start < end){ temp = a[start]; a[start] = a[end]; a[end] = temp; } } temp =a[lb]; a[lb]=a[end]; a[end] = temp; return end; } int quicksort(int a[], int lb, int ub){ int loc,i,n; if(lb<ub){ loc = partition(a,lb,ub); quicksort(a,lb,loc-1); quicksort(a,loc+1,ub); } } int main() { int i,j,n,temp,flag; int a[100]; printf(""Enter the number of elementsin the array:""); scanf(""%d"",&n); a[n]; for(i=0;i<n;i++) { printf(""Enter the elements of the array:""); scanf(""%d"",&a[i]); } quicksort(a,0,n-1); display(a,n); } can you run this program and see",you can declare a variable two times You deleted this message nahi pata kya error he
Amey,Devansh
This message was deleted This message was deleted This message was deleted This message was deleted This message was deleted This message was deleted Amey This message was deleted,Send ss of maths4 Syllabus Not the whole thing null
Bheja Dekh,null
Tyani file mam la dili aahe Tyachya kade nahi aahe,Mug Kay karacha ahe?
Haa re mila Udya lihu Mam la vicharun,Chalel
Hoo,Chalel
Hooo Amyyeyeyeyeyyeyeyeey,Su che?
Mane papars mokal ne <This message was edited> Badha,Mene lagyu tame modak Jav che
🤦🏼 Question papers mokal Mane Print leva,Mokalu chu
Haa,Me tane Gmail bhi Karu sake chu
Atlaj che ? Nai bass Thai gayu,Edit kese karte he group PE?
Msg ?,Haa
Hold karke rakh For uper ke 3 dots pe click kar,Maybe not available in group
It should be Ha it ain't,MurJAVA
😭,We have to do DBMS exp5
yaa Thanku,You deleted this message You deleted this message
hello tera kaam karna,".model small .data array1 db 02H,07H,04H,09H,01H array2 db 00H .code mov ax,@data mov ds,ax mov es,ax lea si,array1 lea di,array2 mov cx,05H cld rep movsb int 03H ends end You deleted this message You deleted this message You deleted this message DBMS ka hone wala he kya lecture?"
Nahi,sblc ka file handling aur exp5 bhej na mujhe chapna he write up and program?
here,thank  yoou
yepp,Tune kiya kya python?
"Nahi from tkinter import * root = Tk() root.geometry('500x500') root.title(""Registration Form"") l0 = Label(root, text=""Registration form"", width=20, font=(""bold"", 20)) l0.place(x=90, y=20) l1 = Label(root, text=""First Name"", width=15, font=(""bold"", 12)) l1.place(x=50, y=65) e1 = Entry(root) e1.place(x=240, y=65) l2 = Label(root, text=""Last Name"", width=15, font=(""bold"", 12)) l2.place(x=50, y=105) e2 = Entry(root) e2.place(x=240, y=105) l3 = Label(root, text=""Email Address"", width=15, font=(""bold"", 12)) l3.place(x=50, y=145) e3 = Entry(root) e3.place(x=240, y=145) l4 = Label(root, text=""Gender"", width=15, font=(""bold"", 12)) l4.place(x=50, y=185) var_gender = IntVar() Radiobutton(root, text=""Male"", padx=5, variable=var_gender, value=1).place(x=225, y=185) Radiobutton(root, text=""Female"", padx=20, variable=var_gender, value=2).place(x=290, y=185) l5 = Label(root, text=""Age"", width=15, font=(""bold"", 12)) l5.place(x=50, y=225) e5 = Entry(root) e5.place(x=240, y=225) l6 = Label(root, text=""Courses:"", width=15, font=(""bold"", 12)) l6.place(x=50, y=265) var_courses_python = IntVar() Checkbutton(root, text=""Python"", variable=var_courses_python).place(x=230, y=265) var_courses_java = IntVar() Checkbutton(root, text=""Java"", variable=var_courses_java).place(x=300, y=265) var_courses_cpp = IntVar() Checkbutton(root, text=""C++"", variable=var_courses_cpp).place(x=360, y=265) l7 = Label(root, text=""Country : "", width=15, font=(""bold"", 12)) l7.place(x=50, y=305) countries = [""India"", ""America"", ""England"", ""South Africa""] var_country = StringVar() var_country.set(countries[0]) country_dropdown = OptionMenu(root, var_country, *countries) country_dropdown.place(x=240, y=305) def display(): print(""Registration Complete"") FN = e1.get() LN = e2.get() EA = e3.get() G = var_gender.get() A = e5.get() PY = var_courses_python.get() JAVA = var_courses_java.get() CPP = var_courses_cpp.get() C = var_country.get() print(FN) print(LN) print(EA) print(G) print(A) print(PY) print(JAVA) print(CPP) print(C) Button(root, text='Submit', width=15, bg='brown', fg='white', command = lambda : display()).place(x=150, y=370) root.mainloop() Ohh Konsa gamua hai ?",Ruby
It isn't working?,Yaait shows that message
It did show me that too But then it went away after some time,You kept it open?
Naa I opened after some time,Will do that then
Yaa Join the follow up,Hu me... Are wa devansh ajj join Kiya he Nahake aya?
Naa 5.30 ko utha lekin nahaya nahi,🤟😂
Do you like dialga palkia and giratina ?,I like giratina
Then download Pokemon platinum I'm also doing,Naa tune ekbar dokha Diya abhi thekenge
Are Maine download Kiya Chal raha hai Smooth,Thekenge
ha I deleted it and downloaded white 2,...
chal raha hai Ameya Sun Left shift right shift ka mam ne kuch bola tha na Mup ke,Ha
Wo bhejna,Khake bhejta hu
Ha chalse Thanku,10 rupees for each word
Vasuli baba,*word and number Naa extortion
You're the one who's extorting now,Nahi I am putting value. It's business Hamara balance katam ho gaya 😂😂
Balance khatam ho Gaya ?,Exactly 1 hr and at 12 AM Yesterday was my last day of balance  😂😂
Haaa 😂,So at 1hr mark it was 12AM Such timing
Wow,1min difference
1 hour 1 min 0 seconds,Mujhe phirbhe bhedana padega. 13% charging Timing 🤟🔥
Yeaah Chal,Chal good night Agar tu soraha hoga to
Haa Good night,Haa
Haa,We should stop studying engineering. It's not worth
Yeah probably 😂😂😂 Eat like a chapati bhaji now,😂😂 Ab tere bari
https://www.instagram.com/reel/C3vGYdDygUQ/?igsh=djZqODhlc3phaWFo,Link bhejraha he ye banda
Are it's something interesting Search about the rabit r1 I had the same Idea a while back,Their website is pretty bad What does rabit r1 do?
Search it up It's cool,I searched it still didn't got it Is it sth that helps in running out app?
https://youtu.be/uJnhh7YSr5Q?si=QHSRLGspYR1tKdgh naya shabd mil gaya 😎 Yehi haina list,Full Stack :- Kshitij Vyas Jai Parmar Devansh Mayatra Varad Naik Sahil Kamble Atharva Rajpurkar Khush Godani Android IOS :- Shivam Pachpute Sairaj Sawant Aum Patel Manav Shah Amey Pacharkar Ashmit Shelke Kaustubh Gondkar Parth Amberkar
Yes 👍🏼 Mai bhi yehi bhejta hu,Are photova bhej de
Photo bheju ? Thikk Excel sheet ?,Ye bhejde Varna photo bhej Mat itna soch
Acha thikke Photva bhejta hu,null
call kiya tha ?,Rath ko Ajj araha he kya isleye
Okk Module 1 Q1 . Define OS Q2. State advantages and disadvantages of OS Q3. Explain functions of OS Q4.Explain evolution of OS Module 2. Q1. Preemptive vs Non Preemptive Sheduking algorithms Q2. FCFS Q3 SJF Q4 SRTF Q5 Round Robin Q6.Priority preemptive n non preemptive Q7. Process Control block Module 3 Q1 interprocess communication Q2. producer consumrr problem Q3 define deadlock,https://sb-auth.skillsbuild.org/signup?ngo-id=0120 She yar. Kitna Ganda photova nikala
acha to hai,Kahi wrong ahet Ani kahi complete nahi
thanku https://www.instagram.com/reel/C2P8842S6xV/?igsh=MTB0OGZvd2U2eGt6Mg== Your 11th is wrong Linear algebra,Acha Kal bata de Kuch bhi mat bhej 11.30 ko hena exam?
11,Time table bhej
This message was deleted,10 ko he
10 ko paper hai ?,Ha yhek *tthek
Ha,samjo abhi kya tha jo sir ne bheja tha
Haa Sir ne kuch lecture liya ? Kuch padha ya likha tune ?,Padha sirf What were questions ma'am gave for OS?
.,What were the topics ma'am said when we asked
Fcfc vs sjf Pcb,Got it
send me the dbms ka answer na of that relational schema bank management thanku,Welcomeva
Is this correct?,Er have to connect the tables to
Ok,Do you have kartikey's solution?
Na,PC (P*3) RAMEL
PC (P*3) RAMEL Mup internal kt,marJAVA
Margaya Ameya Bhejna Tu Jo bhi karega Photwa,I only did from ma'am IA notes and techknowledge
Alright,Will have to do pin diagram in college along with exp program and notebook notes
I also did some topics Teach me too I did programs,Time nahi hoga. Rath le abhi Anything else?
Interrupt service routine Shift operators Daa 8085 vs 8086,Chalega
Haa Call me when you start your doubt session,Chalega join kar
You didn't call,ha did you had doubt?
Na Sir ko puch Ki agar abhi nahi kiya robotics to baadme kar sakte haina,Pranav ka lecture chalu he kya?
Pata nhi,Pranav underground ho gaya kya?
Mera bhi nahi utha Raha hai,Chalega
Haa https://www.instagram.com/reel/C31wNKrrSRq/?igsh=eWFlcWlhNzlkejN5,"ARRAYLIST:- 1)   .add() import java.util.*; public class Main { public static void main(String[] args) { ArrayList<String> a1 = new ArrayList<>(); a1.add(""Welcome""); a1.add(""JKB""); a1.add(1,""To""); System.out.println(a1); } } Output: [Welcome, To, JKB] 2)   .set() import java.util.*; public class Main { public static void main(String[] args) { ArrayList<String> a1 = new ArrayList<>(); a1.add(""Hello""); a1.add(""World""); a1.add(1,""Hello""); System.out.println(""Initial arraylist : ""+a1); a1.set(1,""World""); a1.set(2,""!""); System.out.println(""Final arraylist : ""+a1); } } Output: Initial arraylist : [Hello, Hello, World] Final arraylist : [Hello, World, !] 3)  .indexOf() , .remove(), .size() import java.util.ArrayList; public class Main { public static void main(String[] args) { ArrayList<String> planets = new ArrayList<>(); planets.add(""Mercury""); planets.add(""Earth""); planets.add(""Jupiter""); planets.add(""Saturn""); System.out.println(planets); int index = planets.indexOf(""Earth""); planets.remove(index); planets.add(index,""Venus""); System.out.println(""Size is : ""+planets.size()); for(String str : planets){ System.out.println(str); } } } Output: [Mercury, Earth, Jupiter, Saturn] Size is : 4 Mercury Venus Jupiter Saturn 4) .get() import java.util.ArrayList; public class Main { public static void main(String[] args) { ArrayList<String> al = new ArrayList<>(); al.add(""C++""); al.add(""Python""); al.add(""JAVA""); for(int i = 0;i < al.size(); i++){ System.out.print(al.get(i)+"" \t""); } System.out.println(); for(String str : al){ System.out.print(str + "" \t""); } } } Output: C++     Python  JAVA C++     Python  JAVA 5) .toArray() import java.util.ArrayList; public class Main { public static void main(String[] args) { ArrayList<String> language = new ArrayList<>(); language.add(""Idle""); language.add(""Vada""); language.add(""Dosa""); System.out.println(""ArrayList : ""+language); String[] arr = new String[language.size()]; language.toArray(arr); System.out.println(""Array : ""); for(String item : arr){ System.out.print(item + "" \t""); } } } Output: ArrayList : [Idle, Vada, Dosa] Array : Idle    Vada    Dosa 6) ArrayList of ArrayList import java.util.ArrayList; public class Main { public static void main(String[] args) { int n = 3; ArrayList<ArrayList <Integer>> aList = new ArrayList<ArrayList <Integer>>(n); ArrayList<Integer> a1 = new ArrayList<Integer>(); a1.add(1); a1.add(2); aList.add(a1); System.out.println(""ArrayList a1 : ""+a1); ArrayList<Integer> a2 = new ArrayList<Integer>(); a2.add(5); aList.add(a2); System.out.println(""ArrayList a2 : ""+a2); ArrayList<Integer> a3 = new ArrayList<Integer>(); a3.add(10); a3.add(20); a3.add(30); aList.add(a3); System.out.println(""ArrayList a3 : ""+a3); ArrayList<Integer> a4 = new ArrayList<Integer>(); a3.add(11); a3.add(22); System.out.println(""ArrayList a4 : ""+a3); System.out.println(""ArrayList of ArrayList is :""+aList); } } Output: ArrayList a2 : [5] ArrayList a2 : [10, 20, 30] ArrayList a2 : [10, 20, 30, 11, 22] ArrayList of ArrayList is :[[1, 2], [5], [10, 20, 30, 11, 22]]"
Kiya tha save maine,sir was gonna take l3pp meeting na?
